电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
延禧攻略,惠楷栋,秦岚&&聂远&&佘诗曼&&吴谨言&&许凯&&王冠逸&&谭卓&&苏青&&王媛可&&张嘉倪&&洪尧&&练练&&宋春丽&&李春嫒&&姜梓新&&潘时七&&王茂蕾&&方安娜&&王绘春&&杨净如&&陈宥维&&施予斐&&刘恩尚&&何佳怡&&成浚文&&殷旭&&高洋&&邓莎&&高雨儿&&王鹤润&&王宇威&&王一哲&&许晓诺&&徐百慧&&程茉&&白珊&&茹萍&&戴春荣,剧情&&爱情&&古装,中国大陆,2018,7.2,304653
性爱自修室,本·泰勒,阿萨·巴特菲尔德&&艾玛·麦基&&舒提·盖特瓦&&吉莲·安德森&&康纳·斯温德尔&&凯达·威廉姆斯特灵&&阿利斯泰·皮垂&&艾米·卢·伍德&&米卡埃尔·佩斯布兰特&&米米·基恩&&钱尼尔·库勒&&亚历山大·韦斯特伍德&&塔尼娅·雷诺兹&&凯瑞斯·沃肯斯&&帕特里夏·艾莉森&&西蒙娜·阿什利&&吉姆·霍威克&&爱德华·布卢梅尔&&克里斯·詹克斯&&拉卡·塔克雷尔&&道比·欧帕瑞&&麦克斯·布斯特&&卡迪姆·拉姆齐&&汉娜·沃丁厄姆&&詹姆斯·鲍弗&&萨曼莎·斯毕洛&&莉莉·纽马克&&强尼·艾米斯&&奥利维亚·格兰特&&爱丽丝·休金&&丹尼尔·英格斯&&多米尼克·阿普尔怀特&&安贾纳·瓦桑&&丹尼尔·阿德博伊加&&费米·依鲁福祖&&提什·库马尔&&罗瑞·帕尔弗里,剧情&&喜剧,英国,2019,9.1,168613
机智牢房生活,申源浩,朴海秀&&郑京浩&&郑秀晶&&林华映&&丁海寅&&郑雄仁&&金圣喆&&李奎炯&&郑敏圣&&朴浩山&&姜昇润&&金景南&&崔武成&&崔胜元&&成东日&&金汉钟&&周锡泰&&姜基栋&&朴亨洙&&李道谦&&申在河&&廉惠兰&&林哲亨&&艺秀晶&&李浩哲&&刘在明&&申隣雅&&崔光一&&张赫镇&&金基楠&&李太善&&徐志焄,剧情&&喜剧,韩国,2017,9.4,113715
步步惊心,李国立,刘诗诗&&吴奇隆&&郑嘉颖&&袁弘&&林更新&&刘松仁&&刘心悠&&韩栋&&石筱群&&刘雨欣&&郭晓婷&&戴春荣&&郭珍霓&&马天宇&&叶青&&郑凯&&张雷&&邓立民&&穆婷婷&&刘洁&&沈保平&&周彦呈&&曹馨月&&齐庆林&&柴蔚&&杨了&&巴森&&陈镜宇&&王小东&&胡中虎&&康铭桐&&邢瀚卿&&赵家林&&陆梅芳&&霍冬冬&&高森&&纪雪&&郭金莹&&瞿澳晖&&曹阳&&任学海&&李林琳&&杨晓波&&王昱丹,剧情&&爱情,中国大陆,2011,8.3,182458
权力的游戏,蒂莫西·范·帕腾,伊萨克·亨普斯特德-怀特&&查尔斯·丹斯&&约翰·C·布莱德利&&罗恩·多纳基&&伊恩·麦克尔希尼&&肖恩·宾&&米歇尔·费尔利&&艾米莉亚·克拉克&&伊恩·格雷&&基特·哈灵顿&&尼古拉·科斯特-瓦尔道,剧情&&奇幻&&冒险,美国,2011,9.4,295792
去他*的世界,戴斯特尼·埃卡拉加,杰西卡·巴登&&埃里克斯·劳瑟&&娜奥米·阿基&&史蒂夫·奥拉姆&&克里斯汀·博顿利&&乔纳森·阿里斯&&乔什·迪伦&&蒂姆·凯&&布朗温·詹姆斯&&佩特逊·约瑟夫&&杰克·维尔&&亚历山大·莱利&&凯莉·哈里森&&佛罗伦萨·贝尔&&多萝茜·皮特斯-劳,剧情&&喜剧&&爱情&&冒险,英国,2019,9.2,137819
王国,金成勋,朱智勋&&裴斗娜&&柳承龙&&金相浩&&周锡泰&&许峻豪&&金成圭&&全锡浩&&金惠濬&&郑锡元&&陈善圭,剧情&&动作&&惊悚,美国,2019,8.5,160264
W-两个世界,郑大允,李钟硕&&韩孝周&&郑幼贞&&姜其永&&金义城&&李泰焕&&朴元尚&&李时言&&车光洙&&许政道,爱情&&奇幻,韩国,2016,7.9,164092
你好，旧时光,沙漠,李兰迪&&张新成&&周澄奥&&李牵&&许梦圆&&赵健雷&&汤梦佳&&曹恩齐&&陈鹏万里&&柳俊岐&&姜嫄&&蒋宜儒&&张磊&&宁理&&方文强&&高文峰&&李博洋&&胡世群&&田宜峰&&梁浩&&刘启恒&&蒯伊琳&&王俊浩&&袁晟珉&&魏子淇&&李晨语&&郭唐维&&尚怡琳&&顾语涵&&银艺&&马藜&&韩夫一&&刘畅&&仲小印&&董向荣&&王春妹&&刁熙娟&&陈莹&&吴吉良&&田淼&&王美娟&&杨厚垚&&董日昇&&毛爱宁&&刘乃强,剧情&&爱情,中国大陆,2017,8.7,149613
人民的名义,李路,陆毅&&柯蓝&&张丰毅&&吴刚&&许亚军&&张志坚&&胡静&&张凯丽&&高亚麟&&白志迪&&李建义&&冯雷&&李光复&&赵子琪&&丁海峰&&张晞临&&岳秀清&&翟万臣&&许文广&&侯勇&&黄品沅&&王丽云&&陶慧敏&&徐光宇&&黄俊鹏&&李威&&阚犇犇&&唐菀&&纪帅&&李昕岳&&黄薇&&高英&&赵龙豪&&施大生&&卞涛&&何达&&侯天来&&沈晓海&&郝光&&孙宁&&李学政&&徐小恪&&王海平&&滕爱弦&&方晓莉&&李飞&&于诚群&&石强&&王晞&&何昕霖&&欧阳培龙&&刘若谷&&杨嘉华&&曹杨&&张艺丹&&李路&&宗晶&&赵雄&&史政涵&&王建兵&&亚飞&&贾米娜&&张世民&&潘兴源&&赵文春&&包云飞&&陈果&&马丹旎&&张萍&&胡世群&&安龙&&戴金正&&刘伟&&彭蓝&&魏兵&&杨军&&夏天&&崔健&&张佳佳&&王彬&&危颖&&腾宝才&&潘小千&&赵晓飞&&薛晓帆&&巩金国&&张倩&&陈旭鹏&&邱梓童&&盛凡&&丁俊龙&&赵敏&&霍娟&&蔡永健&&袁军&&朱国瑜&&朱维民&&曹洪&&马国华&&任重&&盖琛雨&&李义&&胡林&&徐宁&&金春&&乔治&&陈光辉&&李书豪&&刘晓莉&&张思远&&李文强&&丛魏&&刘同&&史建明&&霍兴宝&&叶华&&李阳&&陈句&&陈刚&&仲奕卉&&仲奕如&&毛凡&&张德超&&王国华&&韩志华&&刘佳星&&赵辉&&孟宪国&&刘建国&&刘高丽&&于军峰&&周凯&&周竹梅,剧情&&悬疑&&犯罪,中国大陆,2017,8.3,286304
