电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
微微一笑很倾城,林玉芬,郑爽&&杨洋&&毛晓彤&&白宇&&郑业成&&牛骏峰&&崔航&&秦语&&宋奕星&&张赫&&马瑞&&关芯&&陆妍淇&&张彬彬&&张超人&&周宸佳&&刘钰瑾&&章涛&&胡浩博&&小小白&&蔡纲&&顾凯俐&&傅隽&&杨曼琴&&杨雪莹&&宋雨晴&&刘倩妤&&黄柏钧&&程弘&&冷海铭&&刘顾浩&&杨裕&&边城&&陈洁&&刘杭丽&&李欣泽&&张皓宇,剧情&&爱情,中国大陆,2016,6.9,143961
三千鸦杀,回宇,郑业成&&赵露思&&王萌黎&&刘怡潼&&蒋依依&&代云帆&&毛方圆&&王春元&&李路琦&&李明峻&&许梦圆&&张兴哲&&刘锡明&&乔于庭&&张鼎鼎,爱情&&奇幻&&古装,中国大陆,2020,5.9,33407
如懿传,汪俊,周迅&&霍建华&&张钧甯&&李纯&&辛芷蕾&&董洁&&胡可&&邬君梅&&童瑶&&陈昊宇&&经超&&黄宥明&&陈冲&&李沁&&张佳宁&&曹曦文&&何泓姗&&陈小纭&&袁文康&&曾一萱&&于子洋&&赵柯&&刘美彤&&韩丹彤&&齐欢&&李琦&&蒋雪鸣&&郭虹&&宫晓瑄&&闵春晓&&关雪盈&&张举举&&林澄&&夏楠&&屈楚萧&&吴倩&&王纯&&陈木易&&孟召重&&杨柳&&王小橙&&胡明&&王伟&&张丰毅&&王劲松&&李光洁&&余少群&&王鹤润&&张棪琰&&刘泽宇,剧情&&历史&&古装,中国大陆,2018,7.4,213994
重生,杨冬,张译&&赵子琪&&张昊唯&&刘冠成&&程小蒙&&赵今麦&&江柏萱&&宋春丽&&吕凉&&高捷&&潘粤明&&李宗翰&&徐佳&&刘金山&&赵龙豪&&赵达&&张铎&&冯国强&&宁晓志&&王钢&&冯晖&&汪洋&&肖显鹏&&高文峰&&毕英杰&&林鹏&&吴文璟&&刘柏希&&刘子玄&&闫鹏&&冯小勐&&刘杰毅&&王初伊&&黄毅&&李佳蔚&&边天扬&&曲国强&&康群智&&杨阳&&王大山&&任洛敏&&东滨&&谭正&&陈伟&&王筝&&王洁&&白茹&&蔡蝶&&王虹博&&刘红星&&刘冠霖&&袁满&&高原&&李朵&&黄烁文&&王晴&&迪玛&&康琳浠&&刘冰&&宋照明&&骆言&&曹宇宙&&赵亦骥&&旌鸣,悬疑&&犯罪,中国大陆,2020,6.6,68887
秋蝉,付宁,任嘉伦&&李曼&&刘欢&&何杜娟&&菅纫姿&&刘学义&&梁婧娴&&傅方俊&&胡亚捷&&李亭哲&&张涵予&&李小冉&&王劲松&&韩栋&&何中华,剧情&&悬疑,中国大陆,2020,,
爱情公寓5,韦正,娄艺潇&&孙艺洲&&李金铭&&李佳航&&成果&&万籽麟&&张一铎&&陈赫&&赵文琪&&刘萌萌&&榕榕&&三浦研一&&李晟&&陈若轩&&王子异&&赵志伟&&张双利&&刘浩&&韦正&&刘一君&&陈雅丽&&唐超&&罗峰&&常鑫&&申帅&&封佳奇&&王蕴凡&&魏宗万&&单小纯&&严丰&&于立&&顾隽瑶&&李志良&&李汶樯&&崔宗仁&&王旭东&&朱可佳,喜剧&&爱情,中国大陆,2020,6.9,279371
致我们暖暖的小时光,祝东宁,邢菲&&林一&&唐晓天&&郑英辰&&周峻纬&&依莎&&张皓伦&&厉梦帆&&周紫馨&&节冰&&高煜霏&&祝康笠&&陈晶晶&&朱拉拉&&苏晓言,剧情&&爱情,中国大陆,2019,7.9,103120
致我们单纯的小美好,唐彬,胡一天&&沈月&&高至霆&&王梓薇&&孙宁&&吕艳&&周紫馨&&王佳慧&&那聖岩&&周喆&&小熊班尼&&蒋胜男&&赵耀东&&秦子然&&徐明哲&&张何昊臻&&杜和倩&&黄霆&&红坚&&陆玲&&孙浠伦&&王子谦&&张星&&何家豪&&王俏霖&&范淑珍&&崔斌&&郑雪菲&&詹思羽&&徐可&&胡闰奇&&尹雨航&&龚珺&&蒲绿闹&&何小虎&&张子墨&&郑湘敏&&茹天&&陈予清&&牟丙剑桥&&谷军卫&&任重&&白利卫&&褚柳生&&宋文娟&&赵臣枫&&郭海鹏&&安冉&&周庆一&&朱红妃,剧情&&爱情,中国大陆,2017,7.2,111044
爱情公寓,韦正,赵霁&&金世佳&&娄艺潇&&陈赫&&孙艺洲&&王传君&&李金铭&&榕榕,喜剧&&爱情,中国大陆,2009,8.0,156661
家有儿女,林丛,宋丹丹&&高亚麟&&张一山&&杨紫&&尤浩然&&文兴宇&&孙桂田&&林好&&曹力&&马书良&&黑妹&&盛冠森&&马可&&张艺文&&段丽阳&&周倜&&张海燕&&句号&&杨青&&董烨&&傅迦&&夏力薪&&盛利&&吴怡&&冉倩&&姜超,喜剧&&家庭,中国大陆,2005,8.8,112923
机智医生生活,申源浩,曹政奭&&柳演锡&&郑京浩&&金大明&&田美都&&金海淑&&金甲洙&&丁文晟&&申贤彬&&文泰佑&&金俊翰&&河允庆&&全光真&&安恩真&&金惠仁&&崔英俊&&申度贤&&徐镇元&&赵胜延&&金俊&&郭善英&&奇恩世&&曹怡贤&&裴贤圣&&金秀珍&&李露雅&&李达&&杨照雅&&朴韩率&&李慧恩&&金妃妃&&李智媛&&尹惠利&&金智星&&薛有珍&&成东日&&金成钧&&艺智苑&&吴允儿&&朴亨洙&&黄英熙&&朴胜泰&&廉惠兰&&金圣喆&&郑宰成&&李智勋&&崔英佑,剧情,韩国,2020,9.4,41737
我的天才女友,萨维里奥·科斯坦佐,玛格丽塔·马祖可&&盖娅·吉拉切&&弗朗西斯·塞尔皮科&&乔万尼·阿穆拉&&杰纳罗·德斯特凡诺&&阿莱西奥·加洛&&瓦伦蒂娜·阿卡&&朵拉·罗马诺&&伊曼纽尔·瓦伦蒂&&安东尼奥·波南诺&&安娜丽塔·维托罗&&克里斯蒂安·吉罗索&&卢卡·加洛内&&马特奥·切基&&费德里卡·索拉佐&&布鲁诺·奥兰多&&爱德华多·斯卡皮塔&&乔瓦尼·布塞利&&皮纳·迪·热那罗&&埃尔维斯·埃斯波西托&&莎拉·法兰加&&伊利莎·德尔·吉尼欧&&卢多维卡·纳斯提&&Ulrike Migliaresi&&Clotilde Sabatino,剧情,美国,2020,9.5,52452
还珠格格,孙树培,赵薇&&苏有朋&&林心如&&周杰&&陈志朋&&范冰冰&&张铁林&&戴春荣&&李明启&&赵丽娟&&张恒&&陈莹&&陆诗雨&&刘芳&&刘丹&&薛俨&&李楠&&鱼梦洁&&刘芳毓&&艾洋&&董伟&&张巍&&游龙&&苗皓钧&&朱景隆&&王奕&&刘伟&&郑佳欣&&杨东&&王坤&&温海波,剧情&&喜剧&&动作&&爱情&&古装,中国台湾,1998,8.4,156847
安家,安建,孙俪&&罗晋&&张萌&&王自健&&田雷&&孙佳雨&&杨皓宇&&张晓谦&&海清&&郭涛&&奚美娟&&韩童生&&李宗翰&&丁嘉丽&&白志迪&&胡可&&郝平&&王艺哲&&梁超&&代乐乐&&涂凌&&杨昆&&丁勇岱&&董可飞&&王志强&&康群智&&陈牧扬&&迟蓬&&王景烁&&吴玉芳&&闫学晶&&翟小兴&&侯凯文&&陈烨林&&陆玲&&崔奕&&刘涛&&钱洁&&孙艳&&孙亮&&张雯&&赵峥&&简宇熙&&刘洁&&徐囡楠&&郑瑾瑜&&夏德俊&&朱泳腾&&苇青&&郭家铭&&马亮&&张开泰&&秦焰&&安建&&张喜前&&李凤绪&&陈冠宁&&晨阳&&海铃&&白庆琳&&李菁&&韦奕波&&田淼&&万美汐&&卢森堡&&徐才根&&贺彬&&陈颢文&&宋宁&&高一清&&是安&&周野芒&&牛银红&&王嘉绮&&王远达&&钟卫华&&周知&&林夕&&李菁菁&&朱诚亿&&于恒&&杨大鹏&&冯晖&&林栋甫,剧情&&爱情,中国大陆,2020,6.3,139702
普通人,伦尼·阿伯拉罕森,黛西·埃德加-琼斯&&保罗·麦斯卡&&艾略特·撒奥特&&莎拉·格林&&德斯蒙德·伊斯特伍德&&英迪尔·马伦&&莉亚·麦克纳玛拉&&尼亚姆·林奇&&费昂·奥谢&&利兹·菲茨吉本&&基里安·菲兰&&伊芙.海因德&&塞巴斯蒂安·德·索萨&&克里斯·麦克哈利姆&&穆里斯·克劳雷&&劳琳·坎尼&&Lancelot Ncube&&肖恩·达根&&奥尔加·韦尔利&&埃莉诺·麦瑟文&&格温·麦克艾尔文&&Leah Minto&&肖恩·多耶尔&&Aislín McGuckin&&Eanna Hardwicke&&Frank Blake&&Meadhbh Maxwell,剧情&&爱情,英国,2020,9.0,3890
斗破苍穹,于荣光,吴磊&&林允&&李沁&&陈楚河&&辛芷蕾&&刘美彤&&肖战&&伍嘉成&&彭楚粤&&谷嘉诚&&苏青&&于荣光&&李若彤&&李子峰&&凌潇肃&&曾江&&邱心志&&徐少强,奇幻&&古装,中国大陆,2018,4.4,96190
东宫,李木戈,陈星旭&&彭小苒&&魏千翔&&斯琴高娃&&罗嘉良&&杨恭如&&王志飞&&张定涵&&蒋恺&&郑晓宁&&姚安濂&&王传一&&吕行&&邵峰&&于滨&&管乐&&赵龙豪,爱情&&古装,中国大陆,2019,7.7,129733
举重妖精金福珠,吴贤钟,李圣经&&南柱赫&&庆收真&&李载允&&刘多仁&&安吉江&&金宰铉,剧情,韩国,2016,8.6,115802
说的就是你,王吕叉,宋卿&&杨天琪,喜剧,中国大陆,2014,8.2,3947
信号,金元锡,李帝勋&&赵震雄&&金惠秀&&张铉诚&&金元海&&郑涵妃&&郑海钧,剧情&&科幻&&悬疑&&犯罪,韩国,2016,9.2,188079
法医秦明,徐昂,张若昀&&焦俊艳&&李现&&程枫&&屈菁菁&&钱波&&李肆童&&侯茗皓&&王宏伟&&曲毅勇&&胡翔宇&&鲍奇龙&&孙崇琨&&张建科&&刘笑语&&王闯&&周红&&王泽熹&&郭海文&&吴景峰&&于群&&刘丽娟&&葛敬凡&&韩冰&&刘子赫&&柳金芝&&石涵&&陈城&&张桐&&张晓蕾&&李思潼&&王家瑞&&李丽峰&&李宝珍&&高家琦&&刘轩羽&&闻玉龙&&马颖杰&&葛苏仪&&李栋栋&&陈秋诗&&胡乃青&&潘垚&&王靖宇&&关佩男&&殷亚泰&&邓皓&&宋学北&&单宝云&&高蕊&&龙怀忠&&于明加&&姚姝君&&李贺&&蒋易&&杨嘉华&&贾凤柱&&于春&&郝文婷&&姜尘,剧情&&悬疑,中国大陆,2016,7.1,95345
凶案现场,胡储玺,王青&&刘怡潼&&李欣燃&&彭静&&闫鹏&&靳梦楠,爱情&&悬疑,中国大陆,2020,6.6,3679
你好妈妈，再见！,柳济元,金泰熙&&李奎炯&&高甫洁&&申东美&&金美京&&安内相&&潘孝贞&&吴义植&&裴海善,剧情&&奇幻,韩国,2020,8.3,19707
破产姐妹,詹姆斯·伯罗斯,凯特·戴琳斯&&贝丝·比厄&&诺亚·米尔斯&&加勒特·莫里斯&&乔纳森·克特&&马修·摩伊&&尼克·扎诺&&詹妮佛·库里奇&&Brooke Lyons,喜剧,美国,2011,9.0,191139
天气好的话，我会去找你,韩志承,朴敏英&&徐康俊&&文晶熙&&李宰旭&&金焕熙&&南基爱&&金永大&&杨惠智&&林世美,爱情,韩国,2020,8.6,18503
金秘书为何那样,朴俊和,朴叙俊&&朴敏英&&李泰焕&&姜其永&&黄灿盛&&表艺珍&&金秉玉&&金惠玉&&黄宝罗&&姜宏硕&&李宥俊&&李贞敏&&金政云&&金艺媛&&洪志胤&&赵德贤&&朴秉恩,喜剧&&爱情,韩国,2018,8.0,125137
杀死伊芙,泰瑞·麦克多诺,吴珊卓&&朱迪·科默&&费奥纳·肖&&金·波德尼亚&&欧文·麦克唐纳&&史蒂夫·佩姆伯顿&&杰玛·韦兰&&哈丽特·瓦尔特&&肖恩·德兰尼&&丹尼·萨帕尼&&斯蒂芬·扬库&&卡米尔·科坦&&拉吉·巴贾杰&&图尔洛夫·科维里&&普里德拉格·比耶拉克&&叶夫根尼娅·冬妮娜,剧情&&惊悚,美国,2020,9.0,15427
蓝色大海的传说,陈赫,全智贤&&李敏镐&&文素丽&&朴珍荣&&成东日&&葛素媛&&李熙俊&&申惠善&&崔政宇&&黄新惠&&申原昊,爱情&&奇幻,韩国,2016,7.5,82303
哦！我的皇帝陛下,高博,谷嘉诚&&赵露思&&肖战,爱情&&古装,中国大陆,2018,4.4,32529
河神,田里,李现&&张铭恩&&王紫璇&&陈芋米&&苇青&&唐以诺&&陈剑&&杨曙铭&&梁国荣&&康恩赫&&郭九龙&&孙梦泉&&董向荣&&杨轶&&冯齐&&郭亚菲&&李逸男&&杨哲&&陈海龙&&柳希龙&&卢待熹&&邵晓江&&罗米&&李一锋&&杨舒米&&罗鹏&&王军&&钟鸣&&李靖&&夏东鑫&&程枫&&三品&&屈刚&&Schneider&&何坦&&龚俊泽&&康嘉烨,剧情&&悬疑,中国大陆,2017,8.2,160213
楼下女友请签收,明焱,王冠逸&&徐好&&王泽轩&&傅姝阳&&吴昊泽&&涂冰&&王小橙&&倪寒尽&&白昕怡&&李颖&&罗正,爱情,中国大陆,2020,6.9,5659
继承者们,姜信孝,李敏镐&&朴信惠&&金宇彬&&崔振赫&&郑秀晶&&朴炯植&&姜河那&&姜敏赫&&金智媛,剧情&&爱情,韩国,2013,6.9,130864
神探夏洛克,保罗·麦圭根,本尼迪克特·康伯巴奇&&马丁·弗瑞曼&&鲁珀特·格雷夫斯&&马克·加蒂斯&&安德鲁·斯科特&&尤娜·斯塔布斯&&露易丝·布瑞丽&&劳拉·普沃&&凯瑟琳·帕金森&&拉塞尔·托维&&阿米莉亚·布摩&&伊恩·哈拉德&&丹尼·韦伯&&奥娜·卓别林&&安德鲁·哈维尔&&托德·博伊斯&&理查德·坎宁汉姆&&卢克·纽伯里&&罗莎琳德·霍尔斯特德&&彼得·佩德罗&&霍纳·妮芙茜&&汤玛欣·蓝德&&利萨·麦克阿里斯特&&Simon Thorp&&Anthony Cozens&&Rosemary Smith,剧情&&悬疑&&犯罪,英国,2012,9.5,279582
神探夏洛克,柯尔姆·麦卡锡,本尼迪克特·康伯巴奇&&马丁·弗瑞曼&&鲁珀特·格雷夫斯&&马克·加蒂斯&&安德鲁·斯科特&&劳拉·普沃&&尤娜·斯塔布斯&&露易丝·布瑞丽&&阿曼达·阿宾顿&&乔纳森·阿里斯&&婉妲·泛森&&蒂莫西·卡尔顿&&大卫·芬恩&&莎朗·鲁妮&&里克·沃登&&戴维·甘特&&艾德·伯奇&&利萨·麦克阿里斯特&&达伦·布朗&&拉斯科·阿特金斯&&拉斯·米克尔森&&亚当·普里克特&&保罗·沃伦&&Trixiebell Harrowell&&Tomi May&&Lovelace Akpojaro,剧情&&悬疑&&犯罪,英国,2014,9.0,219868
西部世界,理查德·J·刘易斯,埃文·蕾切尔·伍德&&坦迪·牛顿&&詹姆斯·麦斯登&&吉米·辛普森&&妲露拉·莱莉&&卡佳·赫尔伯斯&&艾德·哈里斯&&乔纳森·塔克&&杰弗里·怀特&&路易斯·赫特哈姆&&尼尔·杰克逊&&古斯塔·斯卡斯加德&&法瑞斯·法瑞斯&&贝蒂·加布里埃尔&&真田广之&&本·巴恩斯&&泰莎·汤普森&&冈本多绪&&茱莉亚·琼斯&&扎恩·迈克拉农&&卢克·海姆斯沃斯&&西蒙·夸特曼&&罗德里戈·桑托罗&&史蒂文·奥格&&菊地凛子&&小克利夫顿·克林斯,科幻&&西部,美国,2018,8.8,97680
老友记,大卫·克拉尼,詹妮弗·安妮斯顿&&柯特妮·考克斯&&丽莎·库卓&&马特·勒布朗&&马修·派瑞&&大卫·休默&&詹姆斯·迈克尔·泰勒,喜剧&&爱情,美国,1994,9.7,191210
还珠格格第二部,李平,赵薇&&苏有朋&&张铁林&&周杰&&林心如&&范冰冰&&刘丹&&牟凤彬&&王艳&&赵敏芬&&戴春荣&&赵丽娟&&李明启&&朱宏嘉&&陆诗雨&&陈莹&&薛严&&刘伟&&鱼梦洁&&李冰俏,剧情&&喜剧&&动作&&爱情&&古装,中国台湾,1999,7.8,96720
我是大哥大,福田雄一,贺来贤人&&伊藤健太郎&&清野菜名&&桥本环奈&&仲野太贺&&矢本悠马&&铃木伸之&&矶村勇斗&&室毅&&佐藤二朗&&若月佑美&&柾木玲弥&&城田优,剧情&&喜剧,日本,2018,9.2,176300
黑镜,OttoBathurst,罗里·金尼尔&&鲁伯特·艾弗雷特&&丹尼尔·卡卢亚&&托比·凯贝尔&&杰西卡·布朗·芬德利&&艾伦·里奇&&保罗·帕波维尔&&汤姆·库伦,剧情&&科幻&&惊悚,英国,2011,9.4,299710
红楼梦,王扶林,欧阳奋强&&陈晓旭&&邓婕&&张莉&&李婷&&袁玫&&张蕾&&郭霄珍&&周贤珍&&郑铮&&高宏亮&&潘虹&&东方闻樱&&李颉&&王贵娥&&夏明辉&&胡泽红&&马广儒&&金莉莉&&马加奇&&沈琳&&安雯&&陈剑月&&沙玉华&&牟一&&夏丽蓉&&姬培杰&&孙梦泉&&李志新&&杨俊勇&&吴晓东&&王羊&&站爱霞&&苏秋冬&&王蔚&&侯长荣&&李伊&&刘继红&&张迎玖&&谷童&&沈璐&&张明明&&周月&&王萱&&李玥&&徐丽霞&&陈力&&李楠&&杨晓玲&&韩流流 ,剧情&&爱情&&古装,中国大陆,1987,9.6,116949
匹诺曹,赵秀沅,李钟硕&&朴信惠&&金英光&&李侑菲&&李必模&&闵成旭&&姜信日&&赵德贤&&秋秀贤&&陈庆&&金光奎&&金永勋&&边熙峰,剧情&&爱情,韩国,2014,8.2,138059
余罪,张睿,张一山&&吴优&&常戎&&张锦程&&王戈&&葛铮&&张承&&白一弘&&孙佳雨&&张雨剑&&杜子名&&于笑&&李又麟&&徐冬冬&&门东毅&&虞朗&&赵雷棋&&樊昱君,剧情&&悬疑&&犯罪,中国大陆,2016,8.4,149336
花样年华-生如夏花,孙政贤,刘智泰&&李宝英&&朴珍荣&&朴诗妍&&全素妮&&李泰成&&金永勋&&文成根&&张光,爱情,韩国,2020,8.9,3202
伦敦生活,哈利·布拉德比尔,菲比·沃勒-布里奇&&安德鲁·斯科特&&奥利维娅·科尔曼&&茜安·克利福德&&比尔·帕特森&&布伦特·吉尔曼&&珍妮·莱恩斯福德&&休·斯金纳&&克里斯汀·斯科特·托马斯&&费奥纳·肖&&克里斯蒂安·希尔伯格,喜剧,英国,2019,9.5,101715
战长沙,孔笙,霍建华&&杨紫&&左小青&&任程伟&&牛骏峰&&高鑫&&瑛子&&杨新鸣&&穆丽燕&&王彩平&&吕夏&&刘真君&&李泽锋&&靳东&&张墨锡&&赵志君,剧情&&历史&&战争,中国大陆,2014,9.1,142410
侠探简不知,马艺恒,于济玮&&王燕阳&&王若珊&&马泽涵&&黄日莹&&王星玮&&郝帅,悬疑&&古装,中国大陆,2020,8.0,2910
宸汐缘,林玉芬,张震&&倪妮&&李东学&&张芷溪&&李嘉铭&&海铃&&刘芊含&&张海宇&&那广子&&袁昊&&王庆祥&&黄海冰,剧情&&爱情&&奇幻&&古装,中国大陆,2019,8.3,164509
成化十四年,郭爽,官鸿&&傅孟柏&&刘耀元&&毛毅&&王茂蕾&&贾静雯&&鹤男&&李立群&&辣目洋子,剧情&&古装,中国大陆,2020,5.6,16898
生活大爆炸,詹姆斯·伯罗斯,吉姆·帕森斯&&约翰尼·盖尔克奇&&凯莉·库柯&&西蒙·赫尔伯格&&昆瑙·内亚&&莎拉·吉尔伯特&&DJ·考尔斯&&考特尼·海根勒&&莎拉尤·拉奧&&布鲁克·朵赛&&布瑞恩韦德&&马克·哈雷利克,喜剧,美国,2007,9.4,249034
新白娘子传奇,夏祖辉,赵雅芝&&叶童&&陈美琪&&石乃文&&夏光莉&&乾德门&&尹宝莲&&阮虔芷,爱情&&奇幻&&古装,中国台湾,1992,9.1,127624
德鲁纳酒店,吴庆焕,李知恩&&吕珍九&&赵贤哲&&申正根&&裴海善&&表志勋&&姜美娜&&郑栋焕&&李太善&&李到晛&&朴柔娜&&徐宜淑,剧情,韩国,2019,8.0,100275
陪你到世界之巅,沙维琪,王一博&&王子璇&&严禹豪&&丁冠森&&吕小雨&&焉栩嘉&&程启蒙&&胡耘豪&&卢洋洋&&高泰宇&&王姿允&&宝弟&&黄馨瑶,剧情&&爱情,中国大陆,2019,7.4,47618
亮剑,张前,李幼斌&&何政军&&张光北&&童蕾&&孙俪&&战卫华&&陆彭&&张桐&&由力&&王全有&&张笑君&&梁林琳&&杨联春&&车晓彤&&陈艺戈&&江水&&宗利群&&张伟&&陈旺林&&袁满&&张国荣&&董祁明&&王炎冰&&蔡小龙&&徐雷智&&田勇&&郭苏星&&田春山&&荣钦&&柴孛志&&赵中华&&李江&&张建祥&&孟耿成&&陈增祺&&寒丰&&袁乃旗&&韩建平&&常玉平&&那志东,剧情&&战争,中国大陆,2005,9.3,117333
胜者即是正义,石川淳一,堺雅人&&新垣结衣&&生濑胜久&&小池荣子&&里见浩太朗&&矢野圣人&&田口淳之介&&中村苍&&正名仆蔵&&六角慎司&&波瑠&&津村知与支&&中原丈雄&&福田沙纪&&野添义弘&&鹤见辰吾&&洼田正孝&&小出早织&&友近&&永山绚斗&&原田夏希&&东根作寿英&&阿知波悟美&&载宁龙二&&大和田伸也&&村井美树&&德井优&&江守彻&&津田宽治&&户田昌宏&&春木美沙代&&铃木京香&&铃木一真&&青山伦子&&皆川猿时&&宍户美和公&&丸山智己&&木南晴夏&&伊吹吾郎&&山谷初男&&中村敦夫&&吉川爱&&小泽真珠&&冈山一&&坂口涌久&&丹古母鬼马二&&千叶雅子&&左时枝&&二瓶鲛一&&田村泰二郎&&横内正&&西原亚希&&坂田雅信&&神保悟志 &&田畑智子&&东干久&&近江谷太朗&&榊英雄&&小野惠令奈,剧情&&喜剧&&犯罪,日本,2012,9.4,232613
下一站是幸福,丁梓光,宋茜&&宋威龙&&王耀庆&&虞书欣&&张雨剑&&杨之楹&&周奇奇&&蔡雅同&&曾黎&&魏哲鸣&&马丽&&傅迦&&姚卓君&&彭娜齐&&郑舒环&&侯晓童&&王禹皓&&周宸佳&&闫文君&&毛毅&&黄榛&&张磊&&郝文婷&&何子艺&&韩淼&&刘智妙&&王春燕&&陈可心&&韩欣桐&&张般赫&&邹新宇&&柴华&&袁愿&&张佳意&&郑晓婉&&秦越&&严景瑶&&苏欣&&张含丹&&俞杰奇,剧情&&爱情,中国大陆,2020,6.0,159302
我的天才女友,萨维里奥·科斯坦佐,伊利莎·德尔·吉尼欧&&卢多维卡·纳斯提&&玛格丽塔·马祖可&&盖娅·吉拉切&&朵拉·罗马诺&&安娜丽塔·维托罗&&弗朗西斯·塞尔皮科&&乔万尼·阿穆拉&&伊曼纽尔·瓦伦蒂&&费德里卡·索拉佐&&克里斯蒂安·吉罗索&&杰纳罗·德斯特凡诺&&埃尔维斯·埃斯波西托&&瓦伦蒂娜·阿卡&&卢卡·加洛内&&皮纳·迪·热那罗&&莎拉·法兰加&&爱德华多·斯卡皮塔&&安东尼奥·波南诺&&乔瓦尼·布塞利&&杰纳罗·卡诺尼科&&阿尔芭·洛尔瓦彻&&安东尼奥·彭纳雷拉&&法布里齐亚·萨基&&阿莱西奥·加洛&&Imma Villa&&Fabrizio Cottone,剧情,美国,2018,9.3,105434
说的就是你2,王吕叉,宋卿&&杨天琪&&顾珂嘉&&陶宇杰,喜剧,中国大陆,2015,8.9,3588
假偶天成,维拉奇·通吉拉,瓦奇拉维特·奇瓦雷&&梅塔文·欧帕西安卡琼&&德雷克·莱德克&&弗兰克·萨纳萨兰&&辛纳拉·西里朋查瓦雷&&邱常誉&&西瓦科恩·勒尔科乔特,剧情&&爱情&&同性,泰国,2020,9.0,75138
公关,彼得·卡坦纽,安娜·帕奎因&&莉迪亚·威尔逊&&鲁弗斯·琼斯&&瑞贝卡·本森&&吉纳维芙·安吉森&&阿琳泽·科纳&&苏菲·奥康内多&&梅根·特雷德韦&&伊丽莎·赖利&&马克·沃伦&&安德鲁·梁&&西蒙·巴布&&马克思·比斯雷&&克里斯汀·博顿利&&艾伦·戴维斯&&菲奥娜·巴顿&&丽贝卡·鲁特&&霍莉·登普西&&艾米·胡伯曼&&凯瑟琳·凯丽&&卡迪夫·克尔万&&朱利安·科斯托夫&&迪尔德丽·穆林斯,喜剧,英国,2019,8.5,26213
少年包青天,胡明凯,周杰&&释小龙&&任泉&&李冰冰&&陈道明&&刘怡君&&刘东浒&&郑佩佩&&王绘春&&何中华,剧情&&悬疑&&古装,中国大陆,2000,8.3,104553
神探夏洛克,瑞秋·塔拉蕾,本尼迪克特·康伯巴奇&&马丁·弗瑞曼&&鲁珀特·格雷夫斯&&马克·加蒂斯&&安德鲁·斯科特&&阿曼达·阿宾顿&&尤娜·斯塔布斯&&露易丝·布瑞丽&&托比·琼斯&&琳赛·邓肯&&珊·布鲁克&&玛西娅·沃伦&&西蒙·坤茨&&拉斯·米克尔森&&埃莉诺·松浦&&萨沙·达万&&保罗·彻克&&查尔斯·爱德华兹&&阿曼达·鲁特&&罗伯·卡伦德&&理查德·西姆斯&&安德鲁·伯恩&&坦娅·穆迪&&James Holmes&&Eiry Thomas&&David Cromarty&&Neal Barry&&Gabrielle Glaister&&Harry Gostelow,剧情&&悬疑&&犯罪,英国,2017,8.5,143249
潜伏,姜伟,孙红雷&&姚晨&&沈傲君&&祖峰&&冯恩鹤&&吴刚&&朱杰&&范雨林&&王小毅,剧情&&爱情,中国大陆,2009,9.3,126876
东京大饭店,冢原亚由子,木村拓哉&&铃木京香&&玉森裕太&&宽一郎&&朝仓亚纪&&尾上菊之助&&泽村一树&&及川光博&&手塚通&&中村アン&&富永爱&&吉谷彩子&&岩下尚史,剧情,日本,2019,8.8,57031
轮到你了,佐久间纪佳,原田知世&&田中圭&&西野七濑&&木村多江&&生濑胜久&&竹中直人&&浅香航大&&奈绪&&山田真步&&三仓佳奈&&大友花恋&&峰村理惠&&大方斐纱子&&德井优&&金泽美穗&&坪仓由幸&&中尾畅树&&小池亮介&&井阪郁巳&&荒木飞羽&&袴田吉彦&&片桐仁&&真飞圣&&和田聪宏&&野间口彻&&林泰文&&片冈礼子&&皆川猿时&&田中要次&&长野里美&&坂田雅信&&安藤政信&&田中哲司,剧情&&悬疑&&犯罪,日本,2019,7.8,206143
杉杉来了,刘俊杰,张翰&&赵丽颖&&百克力&&石安妮&&王汀&&李方丁&&李呈媛&&黄宥明&&张杨果而&&龙一一&&黄世超,剧情&&爱情,中国大陆,2014,7.4,61223
听见你的声音,赵秀沅,李宝英&&李钟硕&&尹相铉&&李多喜&&金海淑&&郑雄仁&&尹朱尚&&郑栋焕&&金光奎&&金秉玉&&金佳恩&&崔星俊,剧情&&爱情&&奇幻,韩国,2013,8.6,136331
花千骨,林玉芬,霍建华&&赵丽颖&&蒋欣&&张丹峰&&马可&&杨烁&&钱泳辰&&曾虹畅&&安悦溪&&李纯&&徐海乔&&鲍天琦&&董春辉&&蒋一铭&&苗驰&&沈保平&&宫正楠&&康磊&&赵楚纶&&高海&&高一清,剧情&&爱情&&奇幻&&古装,中国大陆,2015,6.6,83415
